Id,Source,Topic,PashtoText,EnglishtTranslation,AnnotatorOne,AnnotatorTwo
1,https://www.facebook.com/167959249906191/posts/3868664713168941,"افغان ولسمشر محمد اشرف غني ویلي، په اوسنیو شرایطو کې د یو باثباته او هوسا افغانستان لپاره نړیوال او سیمه ییز تضمینونه اړین دي. نوموړي دا څرګندوني سې شنبه د هند لومړي وزیر نرېندرا مودي سره د ویډيو کنفرانس له لارې د خبرو پر مهال وکړې.",د لیوني څخه پوښتنه د یو لیونی څخه یو چا پوښتنه وکړه چی غم ښه دی که ښادي؟ لیونی ورته وویل: مهیم یی دیګونه دي.!!!,"Question from a madman Someone asked that grief is good or happy? "" The most important thing is the pots of food,"" said the madman.",Negative,Negative
2,,Afghan President Mohammad Ashraf Ghani said that in the current conditions international and regional guarantees are necessary for a stable and stable Afghanistan. He made the statement on Saturday during a video conference call with Indian Prime Minister Narendra Modi.,جهالت د نابالغه ماشومانو  په باچا پورې خندل نه دي نو څه دي؟  غني مو وياړ دى غني مو رهبر دى غني مو د وطن غمخوار دى,"Ignorance of immature children ,If you don't laugh at the king, then what? Ghani is our pride, Ghani is our leader, Ghani is the mourner of our country",Positive,Positive
3,,,ماته خو بی خوبه  خکاری نور نه پو هیږم,I like it but I don't know anymore,Positive,Positive
4,,,عنى ځان لپاره عمحوار دى نه د وطن حلکو لپاره دا سه حالت روان  دى  اوس   زياتره وګړى  دحپل بدن عړى پلورى,"Ghani is a leader for himself and not for the people of the country
  what is going on?
  Now most of the citizens are selling their bodies",Negative,Negative
5,,,خپله سه بلا وهلي یی ړوزي خو نه دي چي کوي یی,what happened with you. This is not joking that you do,Negative,Negative
6,,,دیر عالی ژوندی دوی داکتر صاحب اشرف غنی,Long live Dr. Ashraf Ghani,Positive,Positive
7,,,ښه تضمین د ده مرګ دی وادې وریدو,The best guarantee is death,Negative,Negative
8,,,ژوند ژوند محبوب ولسمشر عنى بابا ټول لراوبر ولسونه د خپل نظام ترڅنګ ولاړ دى,Life Life Beloved President Ghani Baba All nations stand by their system,Positive,Positive
9,,,دا تضمین به دی دطالبانو دخوشی کیدونه مخکی اخستی وو هسی بادوی یی,This guarantee was taken before the release of the Taliban,Negative,Negative
10,,,فخفله بلا وهلی یی,what happened with you. Did you can't?,Negative,Negative
11,,,څنګه.تړونونه نور کوی په تړونونو خو مو.د افغانانو.ویني د اوبو په څیر اوبهولي,How do agreements make more agreements but we have watered the blood of Afghans like water,Negative,Negative
12,,,حقیقت !,reality ,Positive,Positive
13,,,تول افغانستان روخانہ شی,Let the whole of Afghanistan shine,Positive,Positive
14,,,ددغنی وه خرتوبی او جاهیلی او غلامی ته حیران یم,I am amazed at Ghani's ignorance and slavery,Negative,Negative
15,,,کنر بند کار کلہ شروع کیگی جمھور صیب,"when will start work on Kunar's Dam , President sir",Positive,Positive
16,,,دابه هسی ګف وي 😊😊😊😊😊😊,It's ridiculous.,Negative,Negative
17,,,رنګ یی ډیر مردار نیولی دی,you face is very bad,Negative,Negative
18,,,همدا تضمین خو یی ډاکټر نجیب ته هم ورکړی وو,The same guarantee was given to Dr. Najib,Positive,Positive
19,,,ای لب يو باباجانه   په ټول جهان دې نه ورکوو  الله ج دې راته ژوندی لره باباجانه,"I love Baba jana, we like you more than whole world , live long",Positive,Positive
20,,,"مننه ولسمشره, د آبادۍ په کارونو دی  په اخر کې د افغانانو زړونه وګټل..","Thank you President, it is about the development work that has finally won the hearts of Afghans.",Positive,Positive
21,,,هو حقیقت دي مشر,It's reality ,Positive,Positive
22,,,ژوندی دی غوارو مشره,Long live sir,Positive,Positive
23,,,یقینا,Of course,Positive,Positive
24,,,د یو غني افغانستان په هیله,Hope for a prosperous Afghanistan,Positive,Positive
25,,,ژوندی اوسی باباجانه,long live Baba Jana,Positive,Positive
26,,,لعنت بتو,Curse on,Negative,Negative
27,,,لعنت,curse,Negative,Negative
28,,,لوی خریی,big foolish ,Negative,Negative
29,,,غنی بابا دژوندی وی,Long live Ghani Baba,Positive,Positive
